,count,mean,std,min,25%,50%,75%,max
nearest_ivt_time,32843.0,19.50606217458819,8.296385457688627,5.8,13.3,17.6,24.1,74.5
nearest_mt_time,32843.0,34.00995645951953,19.658633913540463,5.8,19.8,29.4,43.4,134.7
transfer_time,32843.0,26.528520537100754,23.426821781273873,0.0,0.0,27.3,40.2,117.5
nearest_msu_time,32843.0,34.52619736321286,19.828597896861215,5.8,19.8,29.4,44.5,134.7
Admissions,32843.0,2.4660627835456865,1.4187149252327236,0.1,1.333333333,2.333333333,3.333333333,19.33333333
England,32843.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
drip_ship_ivt_time,32843.0,174.50606217458818,8.296385457688368,160.8,168.3,172.6,179.1,229.5
drip_ship_mt_time,32843.0,306.034582711689,26.446681144842557,265.8,281.9,304.9,321.0,413.4
nlvo_no_treatment_mrs_0-2,32843.0,0.58,1.8663133172610057e-13,0.58,0.58,0.58,0.58,0.58
nlvo_no_treatment_utility,32843.0,0.59964,2.742292619651805e-13,0.59964,0.59964,0.59964,0.59964,0.59964
lvo_no_treatment_mrs_0-2,32843.0,0.26500000000000007,1.0031017740305287e-13,0.265,0.265,0.265,0.265,0.265
lvo_no_treatment_utility,32843.0,0.33260999999999996,3.6082797626997435e-15,0.33261,0.33261,0.33261,0.33261,0.33261
nlvo_drip_ship_ivt_mrs_0-2,32843.0,0.6758565683121295,0.0039156915732965055,0.6495002811203845,0.6737054217887961,0.6767640541603965,0.6787792002786561,0.6822780744920736
nlvo_drip_ship_ivt_mrs_shift,32843.0,-0.4825312751688725,0.020362038119231627,-0.5160045742283561,-0.4977402290301045,-0.4872368873102441,-0.4713161638112244,-0.3461399861105174
nlvo_drip_ship_ivt_utility,32843.0,0.6885364745555279,0.003587988087807625,0.6643147357405769,0.6865680735878316,0.6893691620438286,0.6912134306283428,0.6944134291581421
nlvo_drip_ship_ivt_utility_shift,32843.0,0.08889647455552781,0.003587988087807568,0.0646747357405769,0.0869280735878316,0.0897291620438286,0.0915734306283428,0.0947734291581421
lvo_drip_ship_ivt_mrs_0-2,32843.0,0.30952591194323487,0.0023439628974736225,0.2941605189603086,0.3082209558193904,0.31006124491395,0.3112819853452386,0.3134174692284437
lvo_drip_ship_ivt_mrs_shift,32843.0,-0.19378265060840727,0.012031407696357669,-0.2137941957724161,-0.2028011464653571,-0.1965243114954846,-0.1870716132661005,-0.1151983432492826
lvo_drip_ship_ivt_utility,32843.0,0.37303250829997747,0.0022269817934400435,0.3584241739855727,0.3717929970754953,0.3735412415478057,0.3747008073289876,0.3767290939778415
lvo_drip_ship_ivt_utility_shift,32843.0,0.040422508299977455,0.002226981793440247,0.0258141739855726,0.0391829970754953,0.0409312415478057,0.0420908073289876,0.0441190939778415
lvo_drip_ship_mt_mrs_0-2,32843.0,0.3513712023832234,0.015745352237287583,0.2897411307949872,0.3422723367641088,0.3518850243190392,0.3658266489933089,0.3757229675415851
lvo_drip_ship_mt_mrs_shift,32843.0,-0.39694882146812605,0.0784388154166969,-0.5179788526482696,-0.4688724828437842,-0.3996305200014429,-0.3517981308657942,-0.0873157123096457
lvo_drip_ship_mt_utility,32843.0,0.4148267580124414,0.015110975674867003,0.3547344873952928,0.4061729772917316,0.4153876466042764,0.4286641904372027,0.4380313569184955
lvo_drip_ship_mt_utility_shift,32843.0,0.08221675801244137,0.015110975674866165,0.0221244873952928,0.0735629772917316,0.0827776466042764,0.0960541904372027,0.1054213569184954
lvo_drip_ship_ivt_mt_mrs_0-2,32843.0,0.35142433979423543,0.015585239886144993,0.2997634751003166,0.3422723367641088,0.3518850243190392,0.3658266489933089,0.3757229675415851
lvo_drip_ship_ivt_mt_mrs_shift,32843.0,-0.39726752258281706,0.07748939934251878,-0.5179788526482696,-0.4688724828437842,-0.3996305200014429,-0.3517981308657942,-0.1383558546399852
lvo_drip_ship_ivt_mt_utility,32843.0,0.4148687466581244,0.01498040142327983,0.3640602779169821,0.4061729772917316,0.4153876466042764,0.4286641904372027,0.4380313569184955
lvo_drip_ship_ivt_mt_utility_shift,32843.0,0.08225874665812438,0.0149804014232799,0.031450277916982,0.0735629772917316,0.0827776466042764,0.0960541904372027,0.1054213569184954
mothership_ivt_time,32843.0,189.00995645951954,19.65863391354054,160.8,174.8,184.4,198.4,289.7
mothership_mt_time,32843.0,234.00995645951954,19.658633913540537,205.8,219.8,229.4,243.4,334.7
nlvo_mothership_ivt_mrs_0-2,32843.0,0.6689484831222566,0.009432189066967928,0.6195563033810529,0.6645368386019246,0.6712004555818578,0.6757304997375755,0.6822780744920736
nlvo_mothership_ivt_mrs_shift,32843.0,-0.446711796381791,0.04879575498130679,-0.5160045742283561,-0.4818541886874021,-0.4582961302784181,-0.4237392110940046,-0.1928134344077188
nlvo_mothership_ivt_utility,32843.0,0.6821952181507445,0.008671776198118826,0.6365298040812777,0.6781576311441886,0.6842723497912419,0.688422883411981,0.6944134291581421
nlvo_mothership_ivt_utility_shift,32843.0,0.08255521815074435,0.008671776198119376,0.0368898040812777,0.0785176311441886,0.0846323497912419,0.088782883411981,0.0947734291581421
lvo_mothership_ivt_mrs_0-2,32843.0,0.30545519850779945,0.005487345023371395,0.2778671237167701,0.3027926396924567,0.3067249047416348,0.3094377004186928,0.3134174692284437
lvo_mothership_ivt_mrs_shift,32843.0,-0.17293229739527752,0.02806048579178732,-0.2137941957724161,-0.1933201578382362,-0.1793955185584099,-0.1592538886830281,-0.0325127145507018
lvo_mothership_ivt_utility,32843.0,0.3691633750233938,0.005217613497717239,0.3428862494264947,0.3666345470553583,0.3703715892079811,0.3729489100181622,0.3767290939778415
lvo_mothership_ivt_utility_shift,32843.0,0.03655337502339377,0.005217613497717225,0.0102762494264947,0.0340245470553582,0.037761589207981,0.0403389100181622,0.0441190939778415
lvo_mothership_mt_mrs_0-2,32843.0,0.3956348003422523,0.012275501517077134,0.3341929767971822,0.3896646239459657,0.3984722793080223,0.4045504028866098,0.4134665881036031
lvo_mothership_mt_mrs_shift,32843.0,-0.616860204830929,0.06097604340291402,-0.7055606795907332,-0.6611532917430076,-0.6309250970603184,-0.5871702058235684,-0.3115081568122808
lvo_mothership_mt_utility,32843.0,0.45672530332087585,0.011539750432587073,0.3983862978617809,0.4511562977465415,0.4594095305389837,0.4650893976562971,0.473400241224262
lvo_mothership_mt_utility_shift,32843.0,0.12411530332087585,0.011539750432586374,0.0657762978617809,0.1185462977465414,0.1267995305389837,0.1324793976562971,0.140790241224262
lvo_mothership_ivt_mt_mrs_0-2,32843.0,0.3956348003422523,0.012275501517077134,0.3341929767971822,0.3896646239459657,0.3984722793080223,0.4045504028866098,0.4134665881036031
lvo_mothership_ivt_mt_mrs_shift,32843.0,-0.616860204830929,0.06097604340291402,-0.7055606795907332,-0.6611532917430076,-0.6309250970603184,-0.5871702058235684,-0.3115081568122808
lvo_mothership_ivt_mt_utility,32843.0,0.45672530332087585,0.011539750432587073,0.3983862978617809,0.4511562977465415,0.4594095305389837,0.4650893976562971,0.473400241224262
lvo_mothership_ivt_mt_utility_shift,32843.0,0.12411530332087585,0.011539750432586374,0.0657762978617809,0.1185462977465414,0.1267995305389837,0.1324793976562971,0.140790241224262
msu_ivt_time,32843.0,139.52619736321287,19.828597896861048,110.8,124.8,134.4,149.5,239.7
msu_mt_time,32843.0,238.5361538227324,39.254384386869795,181.6,209.6,228.8,256.8,439.4
msu_occupied_treatment,32843.0,118.5361538227324,39.254384386869674,61.6,89.6,108.8,136.8,319.4
msu_occupied_no_treatment,32843.0,79.52619736321286,19.828597896861073,50.8,64.8,74.4,89.5,179.7
nlvo_msu_ivt_mrs_0-2,32843.0,0.6920174401191398,0.009165533168393874,0.6445014876763473,0.6875109761305496,0.6944295234789666,0.6987831535509132,0.7050684167190011
nlvo_msu_ivt_mrs_shift,32843.0,-0.5671682087038099,0.047993461080087785,-0.6359083036748423,-0.602668455133671,-0.5797235722461282,-0.5433882365387792,-0.3204452961389714
nlvo_msu_ivt_utility,32843.0,0.7032986255795958,0.008374254022126418,0.6596977191824854,0.6991943897817717,0.7055069203025384,0.7094746099008454,0.7151969608785067
nlvo_msu_ivt_utility_shift,32843.0,0.1036586255795959,0.008374254022126472,0.0600577191824854,0.0995543897817717,0.1058669203025384,0.1098346099008454,0.1155569608785067
lvo_msu_ivt_mrs_0-2,32843.0,0.31954514115881993,0.00567701815933015,0.2913608648625486,0.316649900828416,0.3209970989360896,0.3237771713926823,0.3278538064794899
lvo_msu_ivt_mrs_shift,32843.0,-0.24549518904031326,0.0293018547602441,-0.2885752339948459,-0.2673710578483805,-0.2529513530985894,-0.2304661002434231,-0.1009516821461775
lvo_msu_ivt_utility,32843.0,0.38254819440972504,0.005392162826341283,0.3557586767951955,0.3797989533463686,0.3839272834583087,0.3865674752150567,0.3904394503502246
lvo_msu_ivt_utility_shift,32843.0,0.049938194409725016,0.00539216282634119,0.0231486767951955,0.0471889533463685,0.0513172834583086,0.0539574752150567,0.0578294503502245
lvo_msu_mt_mrs_0-2,32843.0,0.3930146742654511,0.02418739534219901,0.2758488708883889,0.381301243320998,0.3988512674704083,0.4110406034331437,0.4290102926239778
lvo_msu_mt_mrs_shift,32843.0,-0.603869100467448,0.12032467322700408,-0.783214977120041,-0.6934694015520897,-0.6328090188509927,-0.5456576748790125,-0.0159159756409152
lvo_msu_mt_utility,32843.0,0.4541787476431098,0.022866625865683454,0.340759835991447,0.4432923487659438,0.4597640472366276,0.4711413295822869,0.4878355151680618
lvo_msu_mt_utility_shift,32843.0,0.12156874764310976,0.02286662586568264,0.0081498359914469,0.1106823487659438,0.1271540472366276,0.1385313295822869,0.1552255151680618
lvo_msu_ivt_mt_mrs_0-2,32843.0,0.3930285591567342,0.024127882668491495,0.2913608648625486,0.381301243320998,0.3988512674704083,0.4110406034331437,0.4290102926239778
lvo_msu_ivt_mt_mrs_shift,32843.0,-0.6039549362159496,0.11995837941998122,-0.783214977120041,-0.6934694015520897,-0.6328090188509927,-0.5456576748790125,-0.1009516821461775
lvo_msu_ivt_mt_utility,32843.0,0.4541908173692837,0.02281352091333899,0.3557586767951955,0.4432923487659438,0.4597640472366276,0.4711413295822869,0.4878355151680618
lvo_msu_ivt_mt_utility_shift,32843.0,0.12158081736928365,0.022813520913337153,0.0231486767951955,0.1106823487659438,0.1271540472366276,0.1385313295822869,0.1552255151680618
drip_ship_utility_shift,32843.0,0.08690515618630673,0.0061520807586599975,0.0590268896255196,0.0837716576560778,0.087757964439124,0.0913298204256515,0.097967807486248
mothership_utility_shift,32843.0,0.09502324370178376,0.009531804804128043,0.0455557522154286,0.0905262311248944,0.0972825040155644,0.1018918376852758,0.108578472777978
msu_utility_shift,32843.0,0.10903528311650221,0.012686539079595641,0.0489850064662984,0.1032167391267401,0.1122530583827651,0.1184436258052778,0.1274575271653732
msu_net_utility_benefit,32843.0,0.022130126930195417,0.00825811524053671,-0.0273249328671888,0.0188430516406789,0.0252773388193362,0.0278414680293171,0.0354327140808444
nlvo_drip_ship_ivt_improvement_over_no_treatment,32843.0,0.09585656831212924,0.003915691573296671,0.0695002811203845,0.0937054217887961,0.0967640541603965,0.0987792002786561,0.1022780744920736
nlvo_msu_ivt_improvement_over_no_treatment,32843.0,0.11201744011913974,0.009165533168393896,0.0645014876763473,0.1075109761305496,0.1144295234789666,0.1187831535509132,0.1250684167190011
lvo_drip_ship_ivt_improvement_over_no_treatment,32843.0,0.04452591194323474,0.002343962897473836,0.0291605189603085,0.0432209558193903,0.0450612449139499,0.0462819853452385,0.0484174692284437
lvo_msu_ivt_improvement_over_no_treatment,32843.0,0.054545141158819845,0.00567701815933014,0.0263608648625485,0.0516499008284159,0.0559970989360895,0.0587771713926822,0.0628538064794899
no_treatment_mrs_0-2,32843.0,0.4855,2.4591814382707483e-13,0.4855,0.4855,0.4855,0.4855,0.4855
drip_ship_mrs_0-2,32843.0,0.5785109585334575,0.006537910527251381,0.548922912582312,0.575208745922335,0.5793176296272692,0.5831447308569606,0.590311542406927
drip_ship_mrs_0-2_improvement_over_no_treatment,32843.0,0.09301095853345744,0.006537910527251401,0.0634229125823119,0.0897087459223349,0.0938176296272692,0.0976447308569606,0.1048115424069269
mothership_mrs_0-2,32843.0,0.5869543782882554,0.01028471283118514,0.5339473054058916,0.5820751742051369,0.5893820026997072,0.5943764706822858,0.6016346285755324
mothership_mrs_0-2_improvement_over_no_treatment,32843.0,0.10145437828825532,0.010284712831186192,0.0484473054058916,0.0965751742051369,0.1038820026997072,0.1088764706822858,0.1161346285755324
msu_mrs_0-2,32843.0,0.6023207758304181,0.01363254642364663,0.5385593008322077,0.5960028735473565,0.605756046676399,0.6124603885155824,0.6222509794904941
msu_mrs_0-2_improvement_over_no_treatment,32843.0,0.116820775830418,0.013632546423646825,0.0530593008322077,0.1105028735473565,0.120256046676399,0.1269603885155824,0.1367509794904941
msu_mrs_0-2_benefit,32843.0,0.02380981729696053,0.008916187555416738,-0.0288733752887274,0.0201737424711085,0.0271631169518243,0.0300776828819733,0.0379507946901038
nlvo_msu_ivt_utility_benefit,32843.0,0.014762151024068063,0.0075617693624525605,-0.0266485443071857,0.0113196064978704,0.0169595031652047,0.02092742910107,0.0219209585787679
lvo_msu_ivt_utility_benefit,32843.0,0.009515686109747524,0.004865960219046879,-0.0161543168223659,0.00718140835803715,0.0109387001464394,0.0136048066925981,0.0137103563723831
lvo_msu_ivt_mt_utility_benefit,32843.0,0.03932207071115922,0.011032452929509324,-0.0300582241503276,0.0349013821302213,0.0419275146678371,0.0458892479440148,0.0683185566207891
nlvo_msu_ivt_mrs_0-2_benefit,32843.0,0.016160871807010438,0.00827581970081113,-0.0290121693631644,0.0123621654424815,0.0185731240156654,0.0229315924715662,0.0238718793264436
lvo_msu_ivt_mrs_0-2_benefit,32843.0,0.010019229215585046,0.005123041678716041,-0.0169935889849582,0.0075617665555578,0.0115167578381993,0.0143248127338532,0.0144363372510462
lvo_msu_ivt_mt_mrs_0-2_benefit,32843.0,0.04160421936249871,0.011811009643544547,-0.0298015885325104,0.0368763705003696,0.0444686218453475,0.0489932779143409,0.0707561958027335
count,32843.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
normalised_count,32843.0,3.044788843893675e-05,1.8740042224583346e-17,3.044788843893676e-05,3.044788843893676e-05,3.044788843893676e-05,3.044788843893676e-05,3.044788843893676e-05
normalised_admissions,32843.0,3.0447888438936767e-05,1.7516534476885787e-05,1.2346761259321637e-06,1.6462348341646593e-05,2.880910960096823e-05,4.115587086028987e-05,0.00023870405097239572
change_in_time_to_IVT,32843.0,-34.979864811375336,17.896510425127268,-50.000000000000014,-50.0,-40.3,-26.400000000000006,60.70000000000002
change_in_time_to_MT,32843.0,-67.49842888895654,18.54048751273782,-126.39999999999998,-78.20000000000002,-71.29999999999998,-60.599999999999966,62.60000000000002
